route_id,realtime_enabled
573,1
589,1
605,1
575,1
571,1
572,1
603,1
564,1
565,1
4577,1
562,1
563,1
566,1
4868,1
4869,1
576,1
604,1
574,1
4867,1
567,1
568,1
871,1
1756,1
26,1
1524,1
28,1
27,1
1458,1
4290,1
900,1
712,1
710,1
708,1
716,1
858,1
4291,1
870,1
715,1
714,1
711,1
713,1
1758,1
1757,1
29,1
856,1
31,1
30,1
869,1
867,1
801,1
804,1
798,1
868,1
4278,1
5285,1
799,1
800,1
5819,1
5820,1
6768,1
6770,1
4447,1
4445,1
4446,1
4443,1
4444,1
